timestamp,memory_used_mb,memory_total_mb,gpu_utilization_percent,temperature_c,power_w
2026/09/14 19:06:56.638,1210.0,6141.0,30.0,50.0,25.8
2026/09/14 19:07:01.695,1210.0,6141.0,35.0,52.0,29.0
2026/09/14 19:07:06.791,1209.0,6141.0,25.0,50.0,24.48
2026/09/14 19:07:11.870,1209.0,6141.0,20.0,52.0,29.4
2026/09/14 19:07:16.933,1219.0,6141.0,26.0,50.0,25.75
2026/09/14 19:07:21.996,1219.0,6141.0,31.0,49.0,25.85
2026/09/14 19:07:27.062,1237.0,6141.0,37.0,49.0,25.02
2026/09/14 19:07:32.129,1224.0,6141.0,21.0,50.0,25.1
2026/09/14 19:07:37.201,1209.0,6141.0,29.0,49.0,25.46
2026/09/14 19:07:42.282,1212.0,6141.0,19.0,49.0,23.2
2026/09/14 19:07:47.351,1217.0,6141.0,23.0,48.0,21.14
2026/09/14 19:07:52.416,1221.0,6141.0,26.0,49.0,25.73
2026/09/14 19:07:57.480,1233.0,6141.0,25.0,49.0,25.69
2026/09/14 19:08:02.539,1265.0,6141.0,28.0,50.0,25.57
2026/09/14 19:08:07.638,1279.0,6141.0,30.0,50.0,25.65
2026/09/14 19:08:12.704,1243.0,6141.0,29.0,50.0,25.42
2026/09/14 19:08:17.784,1231.0,6141.0,29.0,50.0,26.56
2026/09/14 19:08:22.866,1231.0,6141.0,23.0,50.0,24.22
2026/09/14 19:08:27.970,1230.0,6141.0,27.0,50.0,25.57
2026/09/14 19:08:33.060,1228.0,6141.0,12.0,50.0,25.11
2026/09/14 19:08:38.133,1221.0,6141.0,28.0,50.0,20.92
2026/09/14 19:08:43.195,1234.0,6141.0,24.0,50.0,24.73
2026/09/14 19:08:48.252,1233.0,6141.0,31.0,51.0,26.55
2026/09/14 19:08:53.311,1233.0,6141.0,27.0,51.0,25.59
2026/09/14 19:08:58.386,1229.0,6141.0,24.0,50.0,24.48
2026/09/14 19:09:03.465,1228.0,6141.0,24.0,50.0,24.64
2026/09/14 19:09:08.547,1228.0,6141.0,24.0,50.0,25.53
